2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-09-30,阳光城,0.6167148666666691,1.253333115,房地产
2011-10-01,阳光城,0.4907934666666662,1.253333115,房地产
2011-10-11,阳光城,1.4666892666666662,1.253333115,房地产
2011-10-12,阳光城,1.5926106666666655,1.19221935,房地产
2011-10-13,阳光城,0.8056002666666657,1.207247325,房地产
2011-10-14,阳光城,-0.0128921333333345,1.25633871,房地产
2011-10-15,阳光城,0.3019113666666691,1.26635736,房地产
2011-10-18,阳光城,0.4593147666666653,1.26635736,房地产
2011-10-19,阳光城,1.3407645666666674,1.22628276,房地产
2011-10-20,阳光城,1.4352072666666658,1.19622681,房地产
2011-10-21,阳光城,2.0648175666666653,1.16617086,房地产
2011-10-22,阳光城,2.4110997666666663,1.151142885,房地产
2011-10-25,阳光城,2.1907389666666686,1.151142885,房地产
2011-10-26,阳光城,1.5611286666666686,1.16416713,房地产
2011-10-27,阳光城,1.0889217666666653,1.202238,房地产
2011-10-28,阳光城,-2.256842633333332,1.20824919,房地产
2011-10-29,阳光城,-3.871892333333332,1.25633871,房地产
2011-11-01,阳光城,-3.684095933333332,1.25633871,房地产
2011-11-02,阳光城,-4.297721755555553,1.27236855,房地产
2011-11-03,阳光城,-4.5606360555555545,1.253333115,房地产
2011-11-04,阳光城,-4.447957555555553,1.289400255,房地产
2011-11-05,阳光城,-5.724975055555558,1.3064319599999998,房地产
2011-11-08,阳光城,-5.687414455555555,1.3064319599999998,房地产
2011-11-09,阳光城,-5.537178655555557,1.32646926,房地产
2011-11-10,阳光城,-5.4245001555555525,1.311441285,房地产
2011-11-11,阳光城,-4.673314555555553,1.30442823,房地产
2011-11-12,阳光城,-4.673314555555553,1.2823871999999998,房地产
2011-11-15,阳光城,-5.236703755555553,1.2823871999999998,房地产
2011-11-16,阳光城,-5.0864679555555545,1.307433825,房地产
2011-11-17,阳光城,-4.5606360555555545,1.291403985,房地产
2011-11-18,阳光城,-4.973789455555553,1.28639466,房地产
2011-11-19,阳光城,-4.748432455555554,1.2964133100000002,房地产
2011-11-22,阳光城,-4.447957555555553,1.2964133100000002,房地产
2011-11-23,阳光城,-4.3352790555555565,1.263351765,房地产
2011-11-24,阳光城,-4.3352790555555565,1.259344305,房地产
2011-11-25,阳光城,-5.199143155555554,1.2823871999999998,房地产
2011-11-26,阳光城,-4.523075455555556,1.29040212,房地产
2011-11-29,阳光城,-4.3352790555555565,1.29040212,房地产
2011-11-30,阳光城,-4.861110955555553,1.27036482,房地产
2011-12-01,阳光城,-4.185043255555557,1.263351765,房地产
2011-12-02,阳光城,-5.274264355555554,1.3224618,房地产
2011-12-03,阳光城,-5.3869395555555535,1.307433825,房地产
2011-12-06,阳光城,-5.837653555555555,1.307433825,房地产
2011-12-07,阳光城,-5.837653555555555,1.33448418,房地产
2011-12-08,阳光城,-5.837653555555555,1.34450283,房地产
2011-12-09,阳光城,-6.926871355555555,1.37856624,房地产
2011-12-10,阳光城,-7.077110455555554,1.415635245,房地产
2011-12-13,阳光城,-5.987889355555552,1.415635245,房地产
2011-12-14,阳光城,-5.3869395555555535,1.34049537,房地产
2011-12-15,阳光城,-4.823550355555553,1.3024245,房地产
2011-12-16,阳光城,-4.936228855555554,1.30442823,房地产
2011-12-17,阳光城,-5.987889355555552,1.31043942,房地产
2011-12-20,阳光城,-6.6639570555555565,1.31043942,房地产
2011-12-21,阳光城,-6.100567855555558,1.381571835,房地产
2011-12-22,阳光城,-4.936228855555554,1.335486045,房地产
2011-12-23,阳光城,-4.297721755555553,1.25633871,房地产
2011-12-24,阳光城,-4.5606360555555545,1.277377875,房地产
2011-12-27,阳光城,-5.011346755555554,1.277377875,房地产
2011-12-28,阳光城,-4.1099253555555535,1.28038347,房地产
2011-12-29,阳光城,-4.222603855555556,1.255336845,房地产
2011-12-30,阳光城,-4.297721755555553,1.261348035,房地产
2011-12-31,阳光城,-4.485518155555553,1.271366685,房地产
2012-01-05,阳光城,-3.6592113555555517,1.271366685,房地产
2012-01-06,阳光城,-3.2085006555555573,1.21626411,房地产
2012-01-07,阳光城,-2.7953472555555554,1.179195105,房地产
2012-01-10,阳光城,-3.621654055555553,1.179195105,房地产
2012-01-11,阳光城,-4.5606360555555545,1.2443163300000002,房地产
2012-01-12,阳光城,-4.523075455555556,1.27236855,房地产
2012-01-13,阳光城,-4.5981966555555545,1.29040212,房地产
2012-01-14,阳光城,-3.9221289555555536,1.2623498999999998,房地产
2012-01-17,阳光城,-2.7953472555555554,1.2623498999999998,房地产
2012-01-18,阳光城,-3.9221289555555536,1.207247325,房地产
2012-01-19,阳光城,-3.6967719555555543,1.237303275,房地产
2012-01-20,阳光城,-4.861110955555553,1.26034617,房地产
2012-01-21,阳光城,-4.936228855555554,1.29641331,房地产
2012-01-31,阳光城,-4.1099253555555535,1.29641331,房地产
2012-02-01,阳光城,-5.048907355555553,1.279381605,房地产
2012-02-02,阳光城,-4.5981966555555545,1.285392795,房地产
2012-02-03,阳光城,-4.710875155555557,1.277377875,房地产
2012-02-04,阳光城,-4.861110955555553,1.2823871999999998,房地产
2012-02-07,阳光城,-4.823550355555553,1.2823871999999998,房地产
2012-02-08,阳光城,-4.372839655555556,1.269362955,房地产
2012-02-09,阳光城,-4.710875155555557,1.27236855,房地产
2012-02-10,阳光城,-5.499618055555555,1.313445015,房地产
2012-02-11,阳光城,-5.462060755555554,1.35652521,房地产
2012-02-14,阳光城,-5.612296555555552,1.35652521,房地产
2012-02-15,阳光城,-5.499618055555555,1.3194562049999998,房地产
2012-02-16,阳光城,-6.4386033555555535,1.34650656,房地产
2012-02-17,阳光城,-6.063007255555553,1.35852894,房地产
2012-02-18,阳光城,-6.851753455555557,1.37656251,房地产
2012-02-21,阳光城,-7.790735455555557,1.37656251,房地产
2012-02-22,阳光城,-8.429245855555552,1.4496986550000002,房地产
2012-02-23,阳光城,-10.044295555555555,1.541870235,房地产
2012-02-24,阳光城,-9.743820655555558,1.545877695,房地产
2012-02-25,阳光城,-10.382331055555555,1.57493178,房地产
2012-02-28,阳光城,-10.044295555555555,1.57493178,房地产
2012-02-29,阳光城,-10.006734955555554,1.5589019400000002,房地产
2012-03-01,阳光城,-9.293109955555554,1.539866505,房地产
2012-03-02,阳光城,-10.119413455555557,1.549885155,房地产
2012-03-03,阳光城,-11.283752455555556,1.61300265,房地产
2012-03-06,阳光城,-11.997380755555556,1.61300265,房地产
2012-03-07,阳光城,-11.509109455555556,1.64706606,房地产
2012-03-08,阳光城,-10.720363255555554,1.62101757,房地产
2012-03-09,阳光城,-11.659345255555555,1.6510735200000002,房地产
2012-03-10,阳光城,-11.433991555555556,1.652075385,房地产
2012-03-13,阳光城,-10.570127455555555,1.652075385,房地产
2012-03-14,阳光城,-10.795481155555553,1.61901384,房地产
2012-03-15,阳光城,-9.743820655555558,1.593967215,房地产
2012-03-16,阳光城,-8.391685255555553,1.503799365,房地产
2012-03-17,阳光城,-9.142870855555554,1.527844125,房地产
2012-03-20,阳光城,-10.044295555555555,1.527844125,房地产
2012-03-21,阳光城,-9.894059755555556,1.573929915,房地产
2012-03-22,阳光城,-9.818938555555556,1.54487583,房地产
2012-03-23,阳光城,-9.931617055555558,1.5558963449999998,房地产
2012-03-24,阳光城,-9.931617055555558,1.55088702,房地产
2012-03-27,阳光城,-9.631142155555557,1.55088702,房地产
2012-03-28,阳光城,-9.556024255555558,1.5599038049999998,房地产
2012-03-29,阳光城,-10.006734955555554,1.557900075,房地产
2012-03-30,阳光城,-11.020838155555555,1.58495043,房地产
2012-03-31,阳光城,-10.983277555555553,1.614004515,房地产
2012-04-06,阳光城,-11.696905855555556,1.614004515,房地产
2012-04-07,阳光城,-11.471548855555556,1.6560828449999998,房地产
2012-04-10,阳光城,-11.433991555555556,1.6560828449999998,房地产
2012-04-11,阳光城,-12.297855655555555,1.656082845,房地产
2012-04-12,阳光城,-13.687548355555545,1.7522618849999998,房地产
2012-04-13,阳光城,-14.476294555555556,1.776306645,房地产
2012-04-14,阳光城,-14.063141155555556,1.79934954,房地产
2012-04-17,阳光城,-14.063141155555556,1.79934954,房地产
2012-04-18,阳光城,-13.311955555555551,1.758273075,房地产
2012-04-19,阳光城,-14.62653035555556,1.77730851,房地产
2012-04-20,阳光城,-14.063141155555556,1.798347675,房地产
2012-04-21,阳光城,-31.775835055555554,1.770295455,房地产
2012-04-24,阳光城,-30.190082755555547,1.770295455,房地产
2012-04-25,阳光城,-29.170673155555555,1.73723391,房地产
2012-04-26,阳光城,-32.84644415555556,1.76728986,房地产
2012-04-27,阳光城,-33.135220555555556,1.822392435,房地产
2012-04-28,阳光城,-32.384397955555556,1.808366325,房地产
2012-05-03,阳光城,-37.08696273333333,1.808366325,房地产
2012-05-04,阳光城,-36.45165003333332,1.760276805,房地产
2012-05-05,阳光城,-36.45165003333332,1.7472525600000002,房地产
2012-05-08,阳光城,-37.66451883333333,1.7472525600000002,房地产
2012-05-09,阳光城,-36.97144953333333,1.7833196999999998,房地产
2012-05-10,阳光城,-35.18102793333333,1.740239505,房地产
2012-05-11,阳光城,-33.62162283333333,1.69715931,房地产
2012-05-12,阳光城,-33.62162283333333,1.6630958999999998,房地产
2012-05-15,阳光城,-36.10511703333332,1.6630958999999998,房地产
2012-05-16,阳光城,-36.50940663333333,1.744246965,房地产
2012-05-17,阳光城,-35.989603833333334,1.750258155,房地产
2012-05-18,阳光城,-36.22062693333333,1.750258155,房地产
2012-05-19,阳光城,-35.64307083333333,1.736232045,房地产
2012-05-22,阳光城,-34.77673833333333,1.736232045,房地产
2012-05-23,阳光城,-36.91369623333333,1.7432451,房地产
2012-05-24,阳光城,-37.66451883333333,1.7953420800000002,房地产
2012-05-25,阳光城,-36.56715993333333,1.79333835,房地产
2012-05-26,阳光城,-38.24207493333333,1.79934954,房地产
2012-05-29,阳光城,-38.99289753333333,1.79934954,房地产
2012-05-30,阳光城,-38.877387633333335,1.850444655,房地产
2012-05-31,阳光城,-41.12985543333333,1.890519255,房地产
2012-06-01,阳光城,-40.95658893333333,1.91155842,房地产
2012-06-02,阳光城,-40.26352293333333,1.910556555,房地产
2012-06-05,阳光城,-38.12656503333333,1.910556555,房地产
2012-06-06,阳光城,-36.50940663333333,1.7833197,房地产
2012-06-07,阳光城,-36.62491653333333,1.76528613,房地产
2012-06-08,阳光城,-37.83778533333333,1.824396165,房地产
2012-06-09,阳光城,-37.54900563333333,1.83140922,房地产
2012-06-12,阳光城,-39.57045363333332,1.83140922,房地产
2012-06-13,阳光城,-39.62821023333332,1.868478225,房地产
2012-06-14,阳光城,-39.91698663333332,1.87949874,房地产
2012-06-15,阳光城,-39.10841073333332,1.868478225,房地产
2012-06-16,阳光城,-38.58860793333333,1.846437195,房地产
2012-06-19,阳光城,-38.877387633333335,1.846437195,房地产
2012-06-20,阳光城,-39.68596683333333,1.874489415,房地产
2012-06-21,阳光城,-39.57045363333332,1.874489415,房地产
2012-06-22,阳光城,-40.26352293333333,1.872485685,房地产
2012-06-26,阳光城,-37.31798583333333,1.872485685,房地产
2012-06-27,阳光城,-37.72227543333333,1.79734581,房地产
2012-06-28,阳光城,-39.05065413333333,1.81938684,房地产
2012-06-29,阳光城,-38.12656503333333,1.83742041,房地产
2012-06-30,阳光城,-38.12656503333333,1.81938684,房地产
2012-07-03,阳光城,-39.339430533333335,1.81938684,房地产
2012-07-04,阳光城,-41.12985543333333,1.87949874,房地产
2012-07-05,阳光城,-40.55229933333332,1.904545365,房地产
2012-07-06,阳光城,-39.68596683333333,1.88150247,房地产
2012-07-07,阳光城,-40.66781253333333,1.896530445,房地产
2012-07-10,阳光城,-39.85923333333332,1.896530445,房地产
2012-07-11,阳光城,-36.68267313333333,1.828293105,房地产
2012-07-12,阳光城,-36.68267313333333,1.784116885,房地产
2012-07-13,阳光城,-37.54900563333333,1.780100865,房地产
2012-07-14,阳光城,-37.54900563333333,1.792148925,房地产
2012-07-17,阳光城,-34.89224823333333,1.792148925,房地产
2012-07-18,阳光城,-35.06551473333333,1.7027924799999998,房地产
2012-07-19,阳光城,-32.46651063333333,1.6666483,房地产
2012-07-20,阳光城,-33.275089833333325,1.639540165,房地产
2012-07-21,阳光城,-34.02591243333333,1.65460024,房地产
2012-07-24,阳光城,-34.48795863333333,1.65460024,房地产
2012-07-25,阳光城,-37.20247263333333,1.7670488000000002,房地产
2012-07-26,阳光城,-36.68267313333333,1.764036785,房地产
2012-07-27,阳光城,-39.10841073333332,1.828293105,房地产
2012-07-28,阳光城,-38.18431833333333,1.84134517,房地产
2012-07-31,阳光城,-38.47309803333333,1.84134517,房地产
2012-08-01,阳光城,-38.01105183333333,1.83933716,房地产
2012-08-02,阳光城,-41.24536863333333,1.872469325,房地产
2012-08-03,阳光城,-38.64636453333333,1.894557435,房地产
2012-08-04,阳光城,-41.07209883333332,1.886525395,房地产
2012-08-07,阳光城,-42.51599073333333,1.886525395,房地产
2012-08-08,阳光城,-41.76516813333333,1.962829775,房地产
2012-08-09,阳光城,-43.84436943333333,1.97989786,房地产
2012-08-10,阳光城,-44.13314913333333,2.02206607,房地产
2012-08-11,阳光城,-41.99619123333333,1.970861815,房地产
2012-08-14,阳光城,-38.53085133333333,1.970861815,房地产
2012-08-15,阳光城,-39.51269703333333,1.814237035,房地产
2012-08-16,阳光城,-38.29983153333333,1.83532114,房地产
2012-08-17,阳光城,-37.89554193333333,1.81524104,房地产
2012-08-18,阳光城,-38.01105183333333,1.80118497,房地产
2012-08-21,阳光城,-36.10511703333332,1.80118497,房地产
2012-08-22,阳光城,-36.22062693333333,1.768052805,房地产
2012-08-23,阳光城,-35.75858403333333,1.77106482,房地产
2012-08-24,阳光城,-37.08696273333333,1.75700875,房地产
2012-08-25,阳光城,-36.39389343333333,1.782108875,房地产
2012-08-28,阳光城,-33.39803793333333,1.782108875,房地产
2012-08-29,阳光城,-31.73167323333333,1.681708375,房地产
2012-08-30,阳光城,-32.45376603333332,1.68472039,房地产
2012-08-31,阳光城,-33.23140443333333,1.731908625,房地产
2012-09-01,阳光城,-34.56449553333333,1.756004745,房地产
2012-09-04,阳光城,-33.78212156666666,1.756004745,房地产
2012-09-05,阳光城,-33.893212766666664,1.840341165,房地产
2012-09-06,阳光城,-34.059849566666664,1.84536119,房地产
2012-09-07,阳光城,-34.17094076666666,1.86343328,房地产
2012-09-08,阳光城,-35.05966706666666,1.882509375,房地产
2012-09-11,阳光城,-36.281666966666656,1.882509375,房地产
2012-09-12,阳光城,-36.726031766666665,1.93772965,房地产
2012-09-13,阳光城,-36.837122966666655,1.970861815,房地产
2012-09-14,阳光城,-37.44812456666666,1.97588184,房地产
2012-09-15,阳光城,-35.837305466666656,1.93371363,房地产
2012-09-18,阳光城,-33.61548476666667,1.93371363,房地产
2012-09-19,阳光城,-34.44866546666667,1.84536119,房地产
2012-09-20,阳光城,-34.67084786666666,1.87748935,房地产
2012-09-21,阳光城,-34.282031966666665,1.88552139,房地产
2012-09-22,阳光城,-33.78212156666666,1.84536119,房地产
2012-09-25,阳光城,-34.059849566666664,1.84536119,房地产
2012-09-26,阳光城,-33.504393566666664,1.8272891,房地产
2012-09-27,阳光城,-33.504393566666664,1.844357185,房地产
2012-09-28,阳光城,-35.55957746666667,1.85941726,房地产
2012-09-29,阳光城,-37.17039656666667,1.908613505,房地产
2012-10-09,阳光城,-35.78175986666667,1.908613505,房地产
2012-10-10,阳光城,-37.17039656666667,1.950781715,房地产
2012-10-11,阳光城,-37.114850966666665,1.952789725,房地产
2012-10-12,阳光城,-36.39275816666667,1.94174567,房地产
2012-10-13,阳光城,-37.392578966666655,1.9678498,房地产
2012-10-16,阳光城,-37.94803496666667,1.9678498,房地产
2012-10-17,阳光城,-37.94803496666667,1.978893855,房地产
2012-10-18,阳光城,-37.17039656666667,1.980901865,房地产
2012-10-19,阳光城,-39.33667166666665,2.013030025,房地产
2012-10-20,阳光城,-40.28094356666666,2.08230637,房地产
2012-10-23,阳光城,-41.891762666666665,2.08230637,房地产
2012-10-24,阳光城,-42.391673066666655,2.131502615,房地产
2012-10-25,阳光城,-41.11412756666667,2.111422515,房地产
2012-10-26,阳光城,-39.33667166666665,2.07427433,房地产
2012-10-27,阳光城,-39.447762866666665,2.035118135,房地产
2012-10-30,阳光城,-20.22140186666667,2.035118135,房地产
2012-10-31,阳光城,-22.030306766666666,2.165638785,房地产
2012-11-01,阳光城,-22.753868066666666,2.1887309,房地产
2012-11-02,阳光城,-23.01751754444444,2.29113941,房地产
2012-11-03,阳光城,-23.27076284444444,2.404591975,房地产
2012-11-06,阳光城,-22.65573524444445,2.404591975,房地产
2012-11-07,阳光城,-22.257778344444446,2.31322752,房地产
2012-11-08,阳光城,-21.96835184444444,2.306199485,房地产
2012-11-09,阳光城,-22.402489944444447,2.39756394,房地产
2012-11-10,阳光城,-23.27076284444444,2.400575955,房地产
2012-11-13,阳光城,-25.11584564444445,2.400575955,房地产
2012-11-14,阳光城,-22.981339644444446,2.43571613,房地产
2012-11-15,阳光城,-22.72809104444444,2.368447795,房地产
2012-11-16,阳光城,-22.764268944444442,2.394551925,房地产
2012-11-17,阳光城,-22.185419244444446,2.342343665,房地产
2012-11-20,阳光城,-23.74107884444444,2.342343665,房地产
2012-11-21,阳光城,-26.34590084444444,2.49997245,房地产
2012-11-22,阳光城,-26.707679844444453,2.5501727,房地产
2012-11-23,阳光城,-25.079667744444443,2.535112625,房地产
2012-11-24,阳光城,-25.079667744444443,2.529088595,房地产
2012-11-27,阳光城,-23.451652344444447,2.529088595,房地产
2012-11-28,阳光城,-23.487830244444442,2.37547583,房地产
2012-11-29,阳光城,-22.004529744444447,2.32728359,房地产
2012-11-30,阳光城,-22.72809104444444,2.35941175,房地产
2012-12-01,阳光城,-24.71788544444445,2.41965205,房地产
2012-12-04,阳光城,-26.27354174444444,2.41965205,房地产
2012-12-05,阳光城,-26.526790344444443,2.511016505,房地产
2012-12-06,阳光城,-28.480406844444442,2.649569195,房地产
2012-12-07,阳光城,-28.11862454444444,2.671657305,房地产
2012-12-08,阳光城,-28.010090844444445,2.65860524,房地产
2012-12-11,阳光城,-28.697474244444443,2.65860524,房地产
2012-12-12,阳光城,-31.22994044444444,2.737921635,房地产
2012-12-13,阳光城,-30.68726864444444,2.800169945,房地产
2012-12-14,阳光城,-30.54255704444445,2.818242035,房地产
2012-12-15,阳光城,-32.20674704444444,2.8383221350000003,房地产
2012-12-18,阳光城,-30.10841894444444,2.8383221350000003,房地产
2012-12-19,阳光城,-28.444228944444443,2.77707783,房地产
2012-12-20,阳光城,-29.96370734444444,2.685713375,房地产
2012-12-21,阳光城,-32.42381444444445,2.818242035,房地产
2012-12-22,阳光城,-31.374652044444442,2.92968659,房地产
2012-12-25,阳光城,-33.834759144444455,2.92968659,房地产
2012-12-26,阳光城,-35.17334804444445,3.031091095,房地产
2012-12-27,阳光城,-35.788375644444436,3.089323385,房地产
2012-12-28,阳光城,-35.17334804444445,3.053179205,房地产
2012-12-29,阳光城,-35.752197744444445,3.0491631850000003,房地产
2013-01-01,阳光城,-36.11398004444445,3.0491631850000003,房地产
2013-01-05,阳光城,-36.47575904444445,3.11040749,房地产
2013-01-08,阳光城,-36.403403244444426,3.14655167,房地产
2013-01-09,阳光城,-35.89690934444444,3.071251295,房地产
2013-01-10,阳光城,-34.59450164444445,3.057195225,房地产
2013-01-11,阳光城,-39.22529264444444,3.16060774,房地产
2013-01-12,阳光城,-38.57408714444445,3.3092004800000003,房地产
2013-01-15,阳光城,-40.09356884444445,3.3092004800000003,房地产
2013-01-16,阳光城,-41.54069144444445,3.358396725,房地产
2013-01-17,阳光城,-41.03419754444444,3.376468815,房地产
2013-01-18,阳光城,-40.563881544444435,3.374460805,房地产
2013-01-19,阳光城,-45.08614214444444,3.500965435,房地产
2013-01-22,阳光城,-45.08614214444444,3.500965435,房地产
2013-01-23,阳光城,-45.48409904444443,3.62044203,房地产
2013-01-24,阳光城,-43.530485844444435,3.58228984,房地产
2013-01-25,阳光城,-45.158497944444456,3.57827382,房地产
2013-01-26,阳光城,-46.171482444444436,3.614418,房地产
2013-01-29,阳光城,-50.042537544444436,3.614418,房地产
2013-01-30,阳光城,-49.68075854444446,3.870439275,房地产
2013-01-31,阳光城,-49.174264644444435,3.838311115,房地产
2013-02-01,阳光城,-44.145513444444425,3.69875442,房地产
2013-02-02,阳光城,-44.977608444444435,3.5732537950000003,房地产
2013-02-05,阳光城,-41.46833564444444,3.5732537950000003,房地产
2013-02-06,阳光城,-44.21786924444446,3.440725135,房地产
2013-02-07,阳光城,-42.372786444444436,3.4859053600000003,房地产
2013-02-08,阳光城,-41.72158094444444,3.3945409050000004,房地产
2013-02-09,阳光城,-43.09634774444446,3.4688372750000003,房地产
2013-02-19,阳光城,-40.563881544444435,3.4688372750000003,房地产
2013-02-20,阳光城,-38.24848604444443,3.2328961,房地产
2013-02-21,阳光城,-39.731786544444454,3.25096819,房地产
2013-02-22,阳光城,-40.202102544444436,3.330284585,房地产
2013-02-23,阳光城,-40.27445834444444,3.31723252,房地产
2013-02-26,阳光城,-39.65943074444445,3.31723252,房地产
2013-02-27,阳光城,-40.925663844444436,3.32727257,房地产
2013-02-28,阳光城,-44.073154344444454,3.478877325,房地产
2013-03-01,阳光城,-45.88205924444443,3.64654616,房地产
2013-03-02,阳光城,-47.07593654444445,3.68469835,房地产
2013-03-05,阳光城,-40.382992044444435,3.68469835,房地产
2013-03-06,阳光城,-39.91267604444444,3.25096819,房地产
2013-03-07,阳光城,-39.18911474444444,3.29916043,房地产
2013-03-08,阳光城,-39.00822524444445,3.241932145,房地产
2013-03-09,阳光城,-37.92288164444443,3.1897238850000003,房地产
2013-03-12,阳光城,-38.21230814444445,3.1897238850000003,房地产
2013-03-13,阳光城,-37.45256894444444,3.235908115,房地产
2013-03-14,阳光城,-36.439581144444425,3.12647157,房地产
2013-03-15,阳光城,-36.548114844444434,3.133499605,房地产
2013-03-16,阳光城,-34.232719344444455,3.05819923,房地产
2013-03-19,阳光城,-33.61769174444444,3.05819923,房地产
2013-03-20,阳光城,-36.65665184444444,3.06823928,房地产
2013-03-21,阳光城,-39.080581044444436,3.203779955,房地产
2013-03-22,阳光城,-38.10377444444444,3.26100824,房地产
2013-03-23,阳光城,-37.81434794444445,3.217836025,房地产
2013-03-26,阳光城,-37.41639104444445,3.217836025,房地产
2013-03-27,阳光城,-37.561102644444425,3.24695217,房地产
2013-03-28,阳光城,-40.27445834444444,3.25096819,房地产
2013-03-29,阳光城,-39.37000754444443,3.2770723200000003,房地产
2013-03-30,阳光城,-39.37000754444443,3.268036275,房地产
2013-04-02,阳光城,-33.58318034444443,3.268036275,房地产
2013-04-03,阳光城,-36.97131674444445,3.4859053600000003,房地产
2013-04-04,阳光城,-37.12964084444444,3.589317875,房地产
2013-04-09,阳光城,-33.709840944444444,3.589317875,房地产
2013-04-10,阳光城,-37.667943444444425,3.53208959,房地产
2013-04-11,阳光城,-38.617888044444435,3.67666631,房地产
2013-04-12,阳光城,-38.23790954444445,3.70076243,房地产
2013-04-13,阳光城,-38.80787564444444,3.72485855,房地产
2013-04-16,阳光城,-39.88448084444444,3.72485855,房地产
2013-04-17,阳光城,-42.98763254444444,3.86140323,房地产
2013-04-18,阳光城,-43.17762344444446,3.988911865,房地产
2013-04-19,阳光城,-43.14595664444444,3.990919875,房地产
2013-04-20,阳光城,-43.114293144444424,4.013007985,房地产
2013-04-23,阳光城,-41.847700344444426,4.013007985,房地产
2013-04-24,阳光城,-37.034647044444434,3.76702676,房地产
2013-04-25,阳光城,-39.029530044444435,3.68469835,房地产
2013-04-26,阳光城,-38.30123984444444,3.677670315,房地产
2013-04-27,阳光城,-36.873772044444436,3.75297069,房地产
2013-05-03,阳光城,-45.959929833333334,3.75297069,房地产
2013-05-04,阳光城,-47.03511933333332,4.087304355,房地产
2013-05-07,阳光城,-47.51298243333332,4.087304355,房地产
2013-05-08,阳光城,-48.49857693333333,4.081280325,房地产
2013-05-09,阳光城,-47.483117433333334,4.169632765,房地产
2013-05-10,阳光城,-46.07939643333333,3.986903855,房地产
2013-05-11,阳光城,-46.58712453333333,3.99794791,房地产
2013-05-14,阳光城,-45.39246843333333,3.99794791,房地产
2013-05-15,阳光城,-43.88421333333333,3.8972583,房地产
2013-05-16,阳光城,-43.31675193333333,3.8665107000000005,房地产
2013-05-17,阳光城,-48.99137253333333,3.972205575,房地产
2013-05-18,阳光城,-55.23345453333332,4.471854075,房地产
2013-05-21,阳光城,-60.85132833333332,4.471854075,房地产
2013-05-22,阳光城,-60.28386693333332,4.896555299999998,房地产
2013-05-23,阳光城,-58.18425843333333,4.871572875,房地产
2013-05-24,阳光城,-57.10607913333333,4.8196863,房地产
2013-05-25,阳光城,-57.50330343333332,4.7351304,房地产
2013-05-28,阳光城,-56.02789983333333,4.7351304,房地产
2013-05-29,阳光城,-62.95094013333333,4.902320475,房地产
2013-05-30,阳光城,-63.68863863333333,5.305882725,房地产
2013-05-31,阳光城,-64.02911613333333,5.136770925,房地产
2013-06-01,阳光城,-61.07831223333333,5.106023325,房地产
2013-06-04,阳光城,-61.36204623333333,5.106023325,房地产
2013-06-05,阳光城,-58.014018033333336,4.963815675,房地产
2013-06-06,阳光城,-58.35449553333333,4.821608025,房地产
2013-06-07,阳光城,-56.65210803333333,4.7735649,房地产
2013-06-08,阳光城,-55.23345453333332,4.70822625,房地产
2013-06-14,阳光城,-51.48820533333333,4.70822625,房地产
2013-06-15,阳光城,-53.24733633333333,4.529505824999998,房地产
2013-06-18,阳光城,-52.67987493333333,4.529505824999998,房地产
2013-06-19,阳光城,-59.26243443333332,4.667870025,房地产
2013-06-20,阳光城,-57.61679373333333,4.7581911,房地产
2013-06-21,阳光城,-54.83623023333333,4.79278215,房地产
2013-06-22,阳光城,-54.38226243333333,4.498758225,房地产
2013-06-25,阳光城,-47.62946253333333,4.498758225,房地产
2013-06-26,阳光城,-45.64334433333333,3.9126321,房地产
2013-06-27,阳光城,-48.25367073333333,4.099039425,房地产
2013-06-28,阳光城,-49.38859353333333,4.277759850000002,房地产
2013-06-29,阳光城,-54.09852843333334,4.510288575,房地产
2013-07-02,阳光城,-54.43900593333333,4.510288575,房地产
2013-07-03,阳光城,-54.72273993333334,4.560253425,房地产
2013-07-04,阳光城,-53.24733633333333,4.487227875,房地产
2013-07-05,阳光城,-57.38980983333333,4.6505745,房地产
2013-07-06,阳光城,-58.86521013333333,4.90808565,房地产
2013-07-09,阳光城,-57.78703413333333,4.90808565,房地产
2013-07-10,阳光城,-56.70885483333333,4.740895575,房地产
2013-07-11,阳光城,-60.22712013333334,4.840825275,房地产
2013-07-12,阳光城,-64.14260973333334,5.17712715,房地产
2013-07-13,阳光城,-63.29141433333333,5.2040313000000005,房地产
2013-07-16,阳光城,-61.64577693333333,5.2040313000000005,房地产
2013-07-17,阳光城,-60.62434443333333,4.9445984250000015,房地产
2013-07-18,阳光城,-63.51840153333333,5.05413675,房地产
2013-07-19,阳光城,-59.71640553333332,5.0445281249999985,房地产
2013-07-20,阳光城,-56.02789983333333,4.8273732,房地产
2013-07-23,阳光城,-55.51718523333333,4.8273732,房地产
2013-07-24,阳光城,-57.73028733333333,4.740895575,房地产
2013-07-25,阳光城,-55.11996093333334,4.5890793,房地产
2013-07-26,阳光城,-54.66599313333332,4.5698620499999985,房地产
2013-07-27,阳光城,-53.36082993333333,4.541036175,房地产
2013-07-30,阳光城,-50.69375673333333,4.541036175,房地产
2013-07-31,阳光城,-50.92074393333333,4.3969068,房地产
2013-08-01,阳光城,-52.39614423333334,4.6044531000000015,房地产
2013-08-02,阳光城,-54.04178493333333,4.49299305,房地产
2013-08-03,阳光城,-58.24100193333333,4.7735649,房地产
2013-08-06,阳光城,-59.94338943333333,4.7735649,房地产
